County,Beds
Knox,177.0
LaSalle,164.0
Lake,826.0
Lawrence,25.0
Lee,66.0
Livingston,42.0
Logan,25.0
Macon,446.0
Macoupin,50.0
Madison,677.0
Marion,107.0
Mason,25.0
Massac,25.0
McDonough,45.0
McHenry,405.0
McLean,343.0
Mercer,22.0
Montgomery,50.0
Morgan,93.0
Ogle,17.0
Peoria,986.0
Perry,42.0
Piatt,16.0
Pike,25.0
Randolph,171.0
Richland,47.0
Rock Island,442.0
Saline,65.0
Sangamon,1004.0
Schuyler,22.0
Shelby,30.0
St. Clair,556.0
Stephenson,100.0
Tazewell,132.0
Union,113.0
Vermilion,179.0
Wabash,25.0
Warren,23.0
Washington,22.0
Wayne,25.0
Whiteside,121.0
Will,850.0
Williamson,294.0
Winnebago,932.0
Woodford,25.0
Adams,25.0
Allen,1630.0
Bartholomew,225.0
Blackford,15.0
Boone,68.0
Cass,165.0
Clark,253.0
Clay,25.0
Clinton,25.0
Daviess,42.0
DeKalb,37.0
Dearborn,102.0
Decatur,25.0
Delaware,368.0
Dubois,111.0
Elkhart,338.0
Floyd,269.0
Fulton,25.0
Gibson,25.0
Grant,347.0
Greene,25.0
Hamilton,610.0
Hancock,73.0
Harrison,25.0
Hendricks,260.0
Henry,48.0
Howard,250.0
Huntington,36.0
Jackson,91.0
Jasper,25.0
Jay,25.0
Jefferson,238.0
Jennings,25.0
Johnson,195.0
Knox,99.0
Kosciusko,88.0
LaGrange,25.0
LaPorte,278.0
Lake,1767.0
Lawrence,50.0
Madison,303.0
Marion,3862.0
Marshall,157.0
Miami,25.0
Monroe,357.0
Montgomery,29.0
Morgan,83.0
Noble,47.0
Orange,24.0
Perry,25.0
Porter,292.0
Pulaski,25.0
Putnam,25.0
Randolph,25.0
Ripley,25.0
Rush,25.0
Scott,25.0
Shelby,46.0
St. Joseph,837.0
Starke,15.0
Steuben,25.0
Sullivan,25.0
Tippecanoe,477.0
Tipton,25.0
Vanderburgh,993.0
Vermillion,25.0
Vigo,494.0
Wabash,18.0
Warren,16.0
Warrick,338.0
Washington,25.0
Wayne,376.0
Wells,62.0
White,25.0
Whitley,30.0
Allen,25.0
Anderson,12.0
Atchison,25.0
Barber,32.0
Barton,76.0
Brown,25.0
Butler,108.0
Chautauqua,17.0
Cherokee,46.0
Cheyenne,16.0
Clark,39.0
Clay,17.0
Cloud,22.0
Coffey,25.0
Comanche,12.0
Cowley,53.0
Crawford,89.0
Decatur,21.0
Dickinson,34.0
Douglas,110.0
Edwards,12.0
Ellis,149.0
Ellsworth,18.0
Finney,90.0
Ford,60.0
Franklin,44.0
Geary,96.0
Gove,21.0
Graham,20.0
Grant,26.0
Greeley,18.0
Greenwood,25.0
Hamilton,25.0
Harper,25.0
Harvey,134.0
Haskell,13.0
Hodgeman,25.0
Jackson,12.0
Jefferson,25.0
Jewell,24.0
Johnson,1519.0
Kearny,25.0
Kingman,25.0
Kiowa,15.0
Labette,46.0
Lane,25.0
